period_h,amplitude_mag,coverage,n_trials,recovery_rate
6,0.05,0.1,100,0.0
6,0.05,0.15,100,0.02
6,0.05,0.2,100,0.06
6,0.05,0.25,100,0.04
6,0.05,0.3,100,0.04
6,0.05,0.4,100,0.05
6,0.05,0.5,100,0.07
6,0.05,0.6,100,0.24
6,0.05,0.75,100,0.24
6,0.08,0.1,100,0.0
6,0.08,0.15,100,0.02
6,0.08,0.2,100,0.02
6,0.08,0.25,100,0.05
6,0.08,0.3,100,0.06
6,0.08,0.4,100,0.06
6,0.08,0.5,100,0.12
6,0.08,0.6,100,0.22
6,0.08,0.75,100,0.29
6,0.1,0.1,100,0.0
6,0.1,0.15,100,0.06
6,0.1,0.2,100,0.05
6,0.1,0.25,100,0.06
6,0.1,0.3,100,0.06
6,0.1,0.4,100,0.05
6,0.1,0.5,100,0.17
6,0.1,0.6,100,0.23
6,0.1,0.75,100,0.24
6,0.15,0.1,100,0.0
6,0.15,0.15,100,0.08
6,0.15,0.2,100,0.06
6,0.15,0.25,100,0.05
6,0.15,0.3,100,0.03
6,0.15,0.4,100,0.07
6,0.15,0.5,100,0.12
6,0.15,0.6,100,0.19
6,0.15,0.75,100,0.33
6,0.2,0.1,100,0.0
6,0.2,0.15,100,0.06
6,0.2,0.2,100,0.02
6,0.2,0.25,100,0.07
6,0.2,0.3,100,0.02
6,0.2,0.4,100,0.09
6,0.2,0.5,100,0.13
6,0.2,0.6,100,0.22
6,0.2,0.75,100,0.32
6,0.3,0.1,100,0.0
6,0.3,0.15,100,0.05
6,0.3,0.2,100,0.07
6,0.3,0.25,100,0.04
6,0.3,0.3,100,0.02
6,0.3,0.4,100,0.08
6,0.3,0.5,100,0.2
6,0.3,0.6,100,0.21
6,0.3,0.75,100,0.22
12,0.05,0.1,100,0.0
12,0.05,0.15,100,0.01
12,0.05,0.2,100,0.07
12,0.05,0.25,100,0.03
12,0.05,0.3,100,0.05
12,0.05,0.4,100,0.07
12,0.05,0.5,100,0.15
12,0.05,0.6,100,0.27
12,0.05,0.75,100,0.29
12,0.08,0.1,100,0.0
12,0.08,0.15,100,0.06
12,0.08,0.2,100,0.02
12,0.08,0.25,100,0.08
12,0.08,0.3,100,0.06
12,0.08,0.4,100,0.1
12,0.08,0.5,100,0.1
12,0.08,0.6,100,0.27
12,0.08,0.75,100,0.24
12,0.1,0.1,100,0.0
12,0.1,0.15,100,0.03
12,0.1,0.2,100,0.01
12,0.1,0.25,100,0.01
12,0.1,0.3,100,0.03
12,0.1,0.4,100,0.11
12,0.1,0.5,100,0.11
12,0.1,0.6,100,0.3
12,0.1,0.75,100,0.24
12,0.15,0.1,100,0.0
12,0.15,0.15,100,0.07
12,0.15,0.2,100,0.04
12,0.15,0.25,100,0.04
12,0.15,0.3,100,0.02
12,0.15,0.4,100,0.1
12,0.15,0.5,100,0.08
12,0.15,0.6,100,0.29
12,0.15,0.75,100,0.29
12,0.2,0.1,100,0.0
12,0.2,0.15,100,0.03
12,0.2,0.2,100,0.06
12,0.2,0.25,100,0.08
12,0.2,0.3,100,0.05
12,0.2,0.4,100,0.1
12,0.2,0.5,100,0.11
12,0.2,0.6,100,0.21
12,0.2,0.75,100,0.37
12,0.3,0.1,100,0.0
12,0.3,0.15,100,0.05
12,0.3,0.2,100,0.07
12,0.3,0.25,100,0.04
12,0.3,0.3,100,0.05
12,0.3,0.4,100,0.07
12,0.3,0.5,100,0.17
12,0.3,0.6,100,0.24
12,0.3,0.75,100,0.21
24,0.05,0.1,100,0.0
24,0.05,0.15,100,0.04
24,0.05,0.2,100,0.08
24,0.05,0.25,100,0.06
24,0.05,0.3,100,0.04
24,0.05,0.4,100,0.08
24,0.05,0.5,100,0.06
24,0.05,0.6,100,0.2
24,0.05,0.75,100,0.25
24,0.08,0.1,100,0.0
24,0.08,0.15,100,0.01
24,0.08,0.2,100,0.06
24,0.08,0.25,100,0.06
24,0.08,0.3,100,0.07
24,0.08,0.4,100,0.1
24,0.08,0.5,100,0.11
24,0.08,0.6,100,0.2
24,0.08,0.75,100,0.32
24,0.1,0.1,100,0.0
24,0.1,0.15,100,0.04
24,0.1,0.2,100,0.02
24,0.1,0.25,100,0.02
24,0.1,0.3,100,0.02
24,0.1,0.4,100,0.08
24,0.1,0.5,100,0.13
24,0.1,0.6,100,0.17
24,0.1,0.75,100,0.21
24,0.15,0.1,100,0.0
24,0.15,0.15,100,0.09
24,0.15,0.2,100,0.01
24,0.15,0.25,100,0.05
24,0.15,0.3,100,0.07
24,0.15,0.4,100,0.05
24,0.15,0.5,100,0.1
24,0.15,0.6,100,0.21
24,0.15,0.75,100,0.18
24,0.2,0.1,100,0.0
24,0.2,0.15,100,0.02
24,0.2,0.2,100,0.04
24,0.2,0.25,100,0.03
24,0.2,0.3,100,0.02
24,0.2,0.4,100,0.07
24,0.2,0.5,100,0.16
24,0.2,0.6,100,0.31
24,0.2,0.75,100,0.26
24,0.3,0.1,100,0.0
24,0.3,0.15,100,0.04
24,0.3,0.2,100,0.02
24,0.3,0.25,100,0.06
24,0.3,0.3,100,0.03
24,0.3,0.4,100,0.06
24,0.3,0.5,100,0.11
24,0.3,0.6,100,0.24
24,0.3,0.75,100,0.25
